Ürün,Fiyat
spesiyal kahvaltı,680
vip kahvaltı,380
van kahvaltısı,220
köy kahvaltısı,230
karadeniz kahvaltısı,230
akdeniz kahvaltısı,220
kahvaltı tabağı,100
kuymak,100
kavurmalı yumurta,80
sucuklu yumurta,70
sucuk kızartma,70
sucuk içi,80
salça soslu sosis,55
peynirli yumurta,50
kaşarlı menemen,55
yumurta kapama,50
omlet,55
sebzeli omlet,60
sahanda yumurta,45
sigara böreği,50
paçanga böreği,60
kav.kaş. gözleme ex.,65
suc.kaş gözleme ex,65
pey.gözleme,60
sebzeli gözleme,60
patatesli gözleme,60
kav.kaş. tost,60
suc.kaş. tost,60
kaşarlı tost,55
kızartma tabağı,75
domates soslu kızartma,90
kavurmalı kaş. gözleme menü,110
suc. kaş. gözleme menü,110
peynirli gözleme,100
sebzeli kaşarlı gözleme menü,100
patatesli gözleme menü,100
kav. kaş.tost menü,100
suc. kaş. tost menü,100
seb. kaş. tost menü,90
kaşarlı tost menü,90
çay,10
bitki çayı,35
sahlep-sıc.çik,40
termos çay,60
kahve çşt.,40
su,10
maden suyu,20
m.suyu - soğuk çay,30
portakal suyu vs.,50
suu,10
menemen,55
ek-servis,60
